CusID,CompanyName,Address1,Address2,City,State,ZipCode,MainContact,MainPhone,MainFax,MainEmail,AcctNo,VendorNo,CusTypeID,CreatedOn,CreatedBy,LastModified,LastModifiedBy,Export849Extension
1012,ABC Corporate Headquarters,Attn: Accounts Payable,P.O. Box 247,Thorofare,NJ,8086,NULL,NULL,NULL,NULL,T41360,NULL,NULL,11/15/2017 1:06,mhoenig,4/18/2018 17:24,mhoenig,ABC
1023,Cardinal Health,PO Box 182516,Attn: Accounts Payable,Columbus,OH,43218,NULL,NULL,NULL,NULL,T41541,NULL,1,11/15/2017 1:06,mhoenig,4/18/2018 17:24,mhoenig,CardinalHealth
1069,Mckesson Corporate Headquarters,Document Processing,PO Box 4017,Danville,IL,61834-4017,NULL,NULL,NULL,NULL,PM0036334,NULL,NULL,11/15/2017 1:06,mhoenig,4/18/2018 17:23,mhoenig,Mckesson
1077,Morris Dickson Corporate Headquarters,P. O. Box 51367,,Shreveport,LA,71136,NULL,NULL,NULL,NULL,RM0314790,NULL,NULL,11/15/2017 1:06,mhoenig,4/18/2018 17:24,mhoenig,MorrisDickson
1078,North Carolina Mutual Drug Co,P.O. Box 411,,Durham,NC,27703,NULL,NULL,NULL,NULL,PN0033857,NULL,NULL,11/15/2017 1:06,mhoenig,4/10/2019 9:53,mhoenig,NULL
1094,Smith Drug Company,P.O. Box 1779,,Spartanburg,SC,29304,NULL,NULL,NULL,NULL,T41492,NULL,NULL,11/15/2017 1:06,mhoenig,6/20/2018 16:36,mhoenig,NULL
1030,Dakota Drug Inc.,Attn: Accounts Payable,P.O. Box 877,Anoka,MN,55303,NULL,NULL,NULL,NULL,T4DAKOTAB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1011,Albertson's Distribution,PO BOX 20,,BOISE,ID,83706,NULL,NULL,NULL,NULL,T4ALBB1,NULL,NULL,11/15/2017 1:06,mhoenig,12/1/2017 12:01,mhoenig,NULL
1017,Anda Pharmaceuticals Inc,2915 WESTON ROAD,,WESTON,FL,33331,NULL,NULL,NULL,NULL,T4ANDAB4,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1018,Associated Pharmacies Inc,211 Lonnie Crawford Blvd,,Scottsboro,AL,35769,NULL,NULL,NULL,NULL,T4APIB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1019,Auburn Pharmaceuticals,2354 Bellingham,,Troy,MI,48083,NULL,NULL,NULL,NULL,T4AUB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1021,Bloodworth Wholesale,PO Box 1849,,Tifton,GA,31793,NULL,NULL,NULL,NULL,T4BLB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1022,Burlington Drug Company,91 Catamount Drive,Suite 1,Milton,VT,5468,NULL,NULL,NULL,NULL,T4BURB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1026,Caremark Corporate Mail Svs,Data Management MC141,9501 E. Shea Blvd,Scottsdale,AZ,85260,NULL,NULL,NULL,NULL,T4CAREB2,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1027,Cedardale Distributors,PO Box 842,dba Gen-SourceRx,Carlstadt,NJ,07072-0842,NULL,NULL,NULL,NULL,T4CEDARB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1028,Cigna Central,9014 North 23rd Ave,Suites 14 & 15,Phoenix,AZ,85021,NULL,NULL,NULL,NULL,T4CIB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1029,CVS Pharmacy Inc,PO Box 3120,,Woonsocket,RI,2895,NULL,NULL,NULL,NULL,T4CVSB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1033,Drugs Unlimited,P.O. Box 11797,,San Juan,PR,910,NULL,NULL,NULL,NULL,T4DRB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1039,Express Scripts,7909 SOUTH HARDY,,TEMPE,AZ,85284,NULL,NULL,NULL,NULL,T4EXPRB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1041,Genetco Inc,711 Union Parkway,,Ronkonkoma,NY,11779,NULL,NULL,NULL,NULL,T4GEB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1043,The Harvard Drug Group,31778 Enterprise Dr,Accts Payable,Livonia,MI,48150,NULL,NULL,NULL,NULL,T4HARVB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1044,HBC Service Company,101 Kappa Drive,,Pittsburgh,PA,15238,NULL,NULL,NULL,NULL,T4HBCB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1045,H D Smith Corporate Headquarters,P. O. Box 158,,Springfield,IL,62705,NULL,NULL,NULL,NULL,T41414,NULL,NULL,11/15/2017 1:06,mhoenig,4/18/2018 17:25,mhoenig,HDSmith
1046,H.E. Butt Grocery Company,646 S. FLORES,,SAN ANTONIO,TX,78224,NULL,NULL,NULL,NULL,T4HEBB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1047,Henry Schein Inc,PO BOX 2880,ACCOUNTS PAYABLE,GREENVILLE,SC,29602,NULL,NULL,NULL,NULL,T4HENB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1048,HUMANA INC,8990 W GLENDALE AVE,,GLENDALE,AZ,85305,NULL,NULL,NULL,NULL,T4HUMANAB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1050,Independent Pharmacy Corporation,1550 COLUMBUS ST,,SUN PRAIRIE,WI,53590,NULL,NULL,NULL,NULL,T4INDPB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1051,Informed Rx,2441 Warrenville Road,Ste 610 - Joyce Sekerka,Lisle,IL,60532-3642,NULL,NULL,NULL,NULL,T4INFB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1052,NY Dept of Corr Svcs,6100 School Rd,PO Box 8452 / Accnts Payable,Rome,NY,13442-8452,NULL,NULL,NULL,NULL,T4INYDCB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1053,Prescription Solutions,2858 Loker Ave East,Mail Stop CS70-100,Carlsbad,CA,92010,NULL,NULL,NULL,NULL,T4IRXSOB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1054,Kaiser Permanente,PO Box 41906,Accts Payable-South,Los Angeles,CA,90041-0906,NULL,NULL,NULL,NULL,T4KAIS4,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1067,Louisiana Wholesale Drug,P.O. Box 500-Accts Payable,2085 I-49 South Service Rd,Sunset,LA,70584,NULL,NULL,NULL,NULL,T4LOUB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1068,Masters Pharmaceutical,11930 Kemper Springs Drive,,Cincinnati,OH,45240,NULL,NULL,NULL,NULL,T4MASTB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1074,Medco Health Solutions,Indiana Pharmacy G-3,4750 E 450 South,Whitestown,IN,46075,NULL,NULL,NULL,NULL,T4MEDCB4,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1075,Meijer,PO BOX X,,GRAND RAPIDS,MI,49503,NULL,NULL,NULL,NULL,T4MEJRB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1076,"Miami-Luken Inc",265 S Pioneer Blvd,,Springboro,OH,45066,NULL,NULL,NULL,NULL,T4MIAB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1079,Omnicare Dist Center LLC,302 S Byrne Rd,Bldg 200,Toledo,OH,43615,NULL,NULL,NULL,NULL,T4OMNIB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1080,Parmed,A/P Parmed Pharmaceuticals,4220 Hyde Park Blvd,Niagra Falls,NY,14305-1798,NULL,NULL,NULL,NULL,T4PARB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1081,PHARMACY BUYING ASSOCIATION,6300 ENTERPRISE ROAD,ACCOUNTS PAYABLE,KANSAS CITY,MO,64120,NULL,NULL,NULL,NULL,T4PBAB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1082,PHARMACY INNOVATIONS,2535 JOHNS PLACE,,JAMESTOWN,NY,14701,NULL,NULL,NULL,NULL,T4PHARMB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1083,Prescription Supply,2233 Tracy Road,,Northwood,OH,43619,NULL,NULL,NULL,NULL,T4PREB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1084,Publix RX Warehouse,PO Box #32012,,Lakeland,FL,33802,NULL,NULL,NULL,NULL,T4PUBB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1085,Quest Pharmaceuticals,P.O. Box 270,300 East Chestnut,Murray,KY,42071,NULL,NULL,NULL,NULL,T4QPB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1086,QUALITY CARE PRODUCTS,6920 HALL STREET,,HOLLAND,OH,43528,NULL,NULL,NULL,NULL,T4QUALB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1087,ROCHESTER DRUG CO-OPERATIVE IN,FAIRFIELD,116 LEHIGH DRIVE,FAIRFIELD,NJ,7004,NULL,NULL,NULL,NULL,T4RDCB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1088,Rite Aid Hdqtrs Corp.,200 Newberry Commons,ATTN: Account Payable,ETTERS,PA,17319,NULL,NULL,NULL,NULL,T4RITB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1089,RMC PHARMA,123 QUINTON DRIVE,SUITE A,MUNFORD,TN,38058,NULL,NULL,NULL,NULL,T4RMCB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1090,Rochester Drug Co-op,50 Jet View Drive,PO BOX 24389,Rochester,NY,14624-0389,NULL,NULL,NULL,NULL,T4ROCHB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1091,Richie Pharmacal Co.,119 State Avenue,,Glasgow,KY,42141,NULL,NULL,NULL,NULL,T4RPB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1092,SAFE CHAIN,822 CHESAPEAKE DRIVE,,CAMBRIDGE,MD,21613,NULL,NULL,NULL,NULL,T4SAFECB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1093,Schnucks Pharmacy,PO 954248,,St Louis,MO,63195,NULL,NULL,NULL,NULL,T4SCHB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1095,SuperValu Inc.,PO BOX 210379,,DALLAS,TX,75211,NULL,NULL,NULL,NULL,T4SUPERB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1096,Tel-Drug of PA L.L.C.,PO BOX 4022,,DANVILLE,IL,68134-4022,NULL,NULL,NULL,NULL,T4TEB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1097,"Tel-Drug Inc",206 WELSH RD,,HORSHAM,PA,19044,NULL,NULL,NULL,NULL,T4TELB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1098,Top RX,2950 Brother Blvd,,Bartlett,TN,38133,NULL,NULL,NULL,NULL,T4TRB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1099,Valley Wholesale Drug,1401 West Fremont Street,Attn: Accounts Payable,Stockton,CA,95203,NULL,NULL,NULL,NULL,RV0478431,NULL,NULL,11/15/2017 1:06,mhoenig,6/13/2018 16:21,mhoenig,ValleyWholesale
1100,Value Drug Company,P. O. Box 1027,195 Theater Drive,Duncansville,PA,16635,NULL,NULL,NULL,NULL,T4VALUEB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1101,Wakefern Food Corp.,33 NORTHFIELD AVE,,EDISON,NJ,8818,NULL,NULL,NULL,NULL,T4WAKEB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1102,Wal-Mart Stores,INVOICE CONTROL #8002,702 SW 8TH ST,BENTONVILLE,AR,72716-0333,NULL,NULL,NULL,NULL,T4WALB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1103,Walgreens,#1304347,P.O. BOX 4025,Danville,IL,61834,NULL,NULL,NULL,NULL,T4WALGB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1106,WESLEY PHARMACAL CO,114 RAILROAD DRIVE,,IVYLAND,PA,18974,NULL,NULL,NULL,NULL,T4WESLEYB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1107,WHOLESALE RX,7740-A TRINITY RD,SUITE 113,CORDOVA,TN,38018,NULL,NULL,NULL,NULL,T4WHOLRXB1,NULL,NULL,11/15/2017 1:06,MDH Insight Inc.,11/15/2017 1:06,dbo,NULL
1108,ARMADA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1109,ECONDISC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1110,EPIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1111,"INNOVATIX LLC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1112,MINNESOTA MULTISTATE CONTRACTING ALLIANCE FOR PHARMACY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1113,PREMIER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1114,RxSS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1115,SOUTHEASTERN GROCERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1116,VA/FSS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1117,Public Health,,,,NULL,,,,,,,,NULL,5/1/2018 12:25,mhoenig,5/1/2018 12:25,mhoenig,
1118,Pharmacy Select,,,,NULL,,,,,,,,NULL,8/8/2018 11:22,mhoenig,8/8/2018 11:22,mhoenig,
1119,Pfizer,,,,NULL,,,,,,,,NULL,3/1/2019 14:26,mhoenig,3/1/2019 14:26,mhoenig,